base	target	base_fam	tgt_fam	label	D	bk	coset_k	base_perdim	base_agg	coset_perdim	coset_agg
Qwen-2.5-7B	Qwen-2.5-7B-Instruct	Qwen-2.5-7B	Qwen-2.5-7B	TP	3584	358	57	0.008890446987551896	0.005675854955045227	0.025904549192680558	0.01862085047699208
Qwen-2.5-7B	Qwen2.5-7B-Math	Qwen-2.5-7B	Qwen-2.5-7B	TP	3584	358	67	0.02253829490415872	0.06424425061393675	0.03147025063478336	0.007866027406425592
Qwen-2.5-7B	Qwen2.5-7B-Coder	Qwen-2.5-7B	Qwen-2.5-7B	TP	3584	358	41	0.005461894878566532	-0.005735896627799908	0.011135843584444555	0.014631608188635162
Qwen-2.5-7B	Qwen2.5-7B-Instruct-Medicine	Qwen-2.5-7B	Qwen-2.5-7B	TP	3584	358	57	0.008861254677191014	0.007860447909974828	0.024390088166610147	0.016899040879957763
Qwen-2.5-7B	Qwen2.5-7B-Instruct-Abilierated	Qwen-2.5-7B	Qwen-2.5-7B	TP	3584	358	57	0.008152297679845918	0.007488759357212305	0.018750999611579597	0.06523595985690332
Qwen-2.5-7B	Qwen2.5-7B-Stock	Qwen-2.5-7B	Qwen-2.5-7B	TP	3584	358	113	0.11062515352269658	0.09301269237175674	0.13410653547205148	0.14961006294983153
Qwen-2.5-7B	QevaCoT-7B	Qwen-2.5-7B	Qwen-2.5-7B	TP	3584	358	105	0.07096437235306753	0.07207518174137839	0.07901118533575177	0.0660651797201321
Qwen-2.5-7B	Qwen2.5-7B-Instruct-Task-10	Qwen-2.5-7B	Qwen-2.5-7B	TP	3584	358	52	0.007968726744389289	-0.012331190257533957	0.02500531408622648	0.02439901234510079
Qwen-2.5-7B	Qwen2.5-7B-Instruct-Task-12	Qwen-2.5-7B	Qwen-2.5-7B	TP	3584	358	52	0.008048255554644142	-0.0005932981323121546	0.027764604806684648	0.053132317904750634
Qwen-2.5-7B	Qwen2.5-7B-Instruct-Int4	Qwen-2.5-7B	Qwen-2.5-7B	TP	3584	358	62	0.010891837213797828	-3.4517336332225744e-05	0.024614103422417658	0.028759701723549455
Qwen-2.5-7B	Qwen2.5-7B-Instruct-Int8	Qwen-2.5-7B	Qwen-2.5-7B	TP	3584	358	56	0.007831127215687426	0.0030370253459846733	0.02564535409954105	0.02809509221371673
Qwen-2.5-7B	Qwen2.5-7B-Open-R1-Distill	Qwen-2.5-7B	Qwen-2.5-7B	TP	3584	358	48	0.00838508383916627	0.03013312682972882	0.030207237149764792	0.017631446676622305
Qwen2.5-14B	Qwen2.5-14B-Instruct	Qwen2.5-14B	Qwen2.5-14B	TP	5120	512	177	0.5029990485288394	0.43131708986207484	0.497563339460524	0.42467864780785136
Qwen2.5-14B	Qwen2.5-Coder-14B	Qwen2.5-14B	Qwen2.5-14B	TP	5120	512	70	0.030907993265796824	0.036518786782491604	0.023583106546557785	0.029868785656361
Qwen2.5-14B	oxy-1-small	Qwen2.5-14B	Qwen2.5-14B	TP	5120	512	77	0.2523776107598421	0.16791458322759845	0.26443091834805477	0.27003652446952714
Qwen2.5-14B	Qwen2.5-14B-Gutenberg-Instruct-Slerpeno	Qwen2.5-14B	Qwen2.5-14B	TP	5120	512	188	0.5214525435574501	0.4424750693911221	0.5105709581650449	0.4711945134181246
Qwen2.5-14B	Qwen-story-test-qlora	Qwen2.5-14B	Qwen2.5-14B	TP	5120	512	175	0.48588686739215176	0.41924143514876866	0.4644638771815896	0.4604685331337072
