base	target	same_origin	tok_pd	tok_ag	emb_pd	emb_ag
Qwen-2.5-7B	QevaCoT-7B	Y	0.8587	0.8575	0.0710	0.0721
Qwen-2.5-7B	Qwen-2.5-7B-Instruct	Y	0.7958	0.8012	0.0089	0.0057
Qwen-2.5-7B	Qwen2.5-7B-Coder	Y	0.1455	0.1180	0.0055	-0.0057
Qwen-2.5-7B	Qwen2.5-7B-Instruct-Abilierated	Y	0.7675	0.7353	0.0082	0.0075
Qwen-2.5-7B	Qwen2.5-7B-Instruct-Int4	Y	0.7196	0.6956	0.0109	-0.0000
Qwen-2.5-7B	Qwen2.5-7B-Instruct-Int8	Y	0.7951	0.8003	0.0078	0.0030
Qwen-2.5-7B	Qwen2.5-7B-Instruct-Medicine	Y	0.8205	0.8245	0.0089	0.0079
Qwen-2.5-7B	Qwen2.5-7B-Instruct-Task-10	Y	0.7908	0.7854	0.0080	-0.0123
Qwen-2.5-7B	Qwen2.5-7B-Instruct-Task-12	Y	0.7988	0.8007	0.0080	-0.0006
Qwen-2.5-7B	Qwen2.5-7B-Math	Y	0.1453	0.3301	0.0225	0.0642
Qwen-2.5-7B	Qwen2.5-7B-Open-R1-Distill	Y	0.7776	0.7767	0.0084	0.0301
Qwen-2.5-7B	Qwen2.5-7B-Stock	Y	0.5944	0.5212	0.1106	0.0930
Qwen2.5-14B	DeepSeek-R1-Distill-Qwen-14B	Y	0.5285	0.5536	0.0485	0.0035
Qwen2.5-14B	Qwen-story-test-qlora	Y	0.8487	0.7129	0.4859	0.4192
Qwen2.5-14B	Qwen2.5-14B-Gutenberg-Instruct-Slerpeno	Y	0.8157	0.7386	0.5215	0.4425
Qwen2.5-14B	Qwen2.5-14B-Instruct	Y	0.8069	0.7315	0.5030	0.4313
Qwen2.5-14B	Qwen2.5-14B-Instruct-GPTQ-Int4	Y	0.3648	0.3986	0.2098	0.2809
Qwen2.5-14B	Qwen2.5-Coder-14B	Y	0.0032	0.0360	0.0309	0.0365
